Symbol,Market Cap,Volume,Revenue Growth (YoY),Revenue Growth (Q),EPS Growth,Gross Margin,Operating Income,EBIT,Free Cash Flow,FCF Margin,EV/EBITDA,Debt / Equity,Net Debt / EBITDA,Short % Float,Revenue Growth Est.,Rev Growth This Quarter,Rev Growth Next Quarter,Rev Growth This Year,Rev Growth Next Year,EPS Growth Est.,EPS Growth This Quarter,EPS Growth Next Quarter,EPS Growth This Year,EPS Growth Next Year,Shares Insiders,Earnings Date,Price Change 20-Day MA,Price Change 50-Day MA,Price Change 200-Day MA,Relative Strength Index (RSI),Relative Volume,52-Week Low Price,52-Week High Price,Stock Price,Average True Range (ATR),PS Ratio,Forward PS,PE Ratio,Forward PE
NVTS,2201762978,14785821,-44.88%,-59.42%,,31.03%,-107764000,-117766000,-44277000,-96.43%,,0.01459,,21.49%,-41.89%,-40.53%,-37.18%,-15.92%,71.28%,,,,,,10.26%,2026-05-04,4.56%,6.97%,12.51%,54.401,73.48%,1.67,17.79,9.54,0.8154012173585266,47.95198,56.99472,,
AEHR,2215252679,5269945,-26.39%,-43.67%,,30.72%,-16147000,-14267000,-12194000,-26.95%,,0.07223,,15.01%,-36.27%,-39.58%,16.29%,-17.40%,72.01%,,,,,,5.21%,2026-04-07,64.31%,89.10%,164.59%,77.054,165.12%,7.71,72.5,70.43,5.905284260032222,48.95045,29.23847,,2021.34132
GLXY,7184341481,6493736,40.22%,-37.48%,,100.00%,-237840000,-116232000,-1497824000,-2.44%,,2.7258,,12.48%,,-7.33%,6.32%,-18.84%,16.93%,,,,,,2.74%,2026-05-23,7.34%,2.16%,-19.39%,55.149,112.36%,9.97,45.92,21.66,1.6882143599737385,0.11709,0.14058,,666.6667
EPA:SOI,2274966012,914871,-23.10%,-31.68%,-95.35%,29.57%,91103000,44258000,-27598000,-3.52%,24.55678,0.64562,2.45062,,,,,,,,,,,,16.83%,2025-11-19,15.74%,43.98%,69.89%,68.61,176.64%,22.62,65.16,63.74,4.7689958931241545,2.90173,,184.6897,112.3596
AIM:IQE,362269646,47666717,-27.04%,-31.45%,,-2.58%,-35149000,-37493000,-5082000,-5.22%,,0.81863,,,,,,,,,,,,,,2025-12-24,45.18%,98.47%,262.32%,72.902,198.56%,4.655,38,37,3.951836040017819,3.72437,,-7.4,
SIDU,149916536,48452906,-27.58%,-29.02%,,-168.23%,-28008136,-29384160,-26327830,-778.04%,,0.17617,,10.32%,,,,171.29%,,,,,,,0.10%,2026-05-14,56.14%,75.62%,138.10%,69.49,232.50%,0.6278,5.39,4.25,0.5220609222938698,44.30317,,,
SPIR,722347534,6257292,-35.22%,-26.94%,,40.76%,-95981000,62334000,-92605000,-129.42%,8.34356,0.07753,-0.93837,13.30%,-37.03%,-35.76%,-3.78%,11.91%,23.34%,,,,,,10.13%,2026-05-13,55.44%,87.74%,104.98%,74.368,344.60%,6.6,21.56,21.56,1.7743869804587842,10.09528,9.01762,14.4698,
TSAT,634103533,172979,-26.81%,-26.53%,,48.82%,-219508072,-3657312,-402999964,-132.10%,32.80844,8.19721,26.70525,,-23.60%,-25.74%,-24.06%,-22.28%,-8.48%,,,,,,2.32%,2026-05-05,9.57%,27.48%,50.45%,60.414,87.75%,14.77,46.65,43.15,3.285663054832885,2.0785,1.96731,,
VELO,210268723,1251585,12.12%,-25.23%,,-16.11%,-54920000,-66881000,-30042000,-65.35%,,0.81285,,46.59%,,7.80%,-14.32%,42.22%,50.08%,,,,,,48.86%,2026-05-26,-12.41%,-14.48%,17.41%,45.257,59.17%,2.81,23.84,10.05,1.6728138389174672,4.57374,3.216,,
ALMU,152474397,955951,92.47%,-21.09%,,50.18%,-5489218,-2743557,-1242987,-23.77%,,0.02779,,23.29%,9.17%,11.32%,8.45%,17.96%,73.87%,,,,,,29.95%,2026-05-06,-16.56%,-27.16%,-36.04%,30.959,165.23%,6.08,25.883,10.76,1.2943765248935826,29.1608,23.0498,,
